Ocean Transportation Intermediaries (OTI) List,
Federal Maritime Commission,
Org. No.,Lic. No.,Renewal,Name,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,Latitude,Longitude
028528,028528,8/31/2023 12:00:00 AM,ASIS LOGISTICS LLC,"63 TRIANA IRVINE, CA 92618 UNITED STATES",N/A,63 TRIANA,,IRVINE,CA,92618,UNITED STATES,(949) 612-9702,33.6671,-117.7415
019991,019991,1/31/2025 12:00:00 AM,"ATC LOGISTICS, INC.","14350 GARFIELD AVENUE UNIT 800 PARAMOUNT, CA 90723 UNITED STATES",N/A,14350 GARFIELD AVENUE,UNIT 800,PARAMOUNT,CA,90723,UNITED STATES,3106675411,33.90236,-118.1666
028225,028225,5/31/2024 12:00:00 AM,ATD SYSTEMS INC,"21115 LYCOMING ST WALNUT, CA 91789 UNITED STATES",N/A,21115 LYCOMING ST,,WALNUT,CA,91789,UNITED STATES,(626) 242-8911,34.01662,-117.8578
029228,029228,8/31/2023 12:00:00 AM,AVAIL LOGISTICS,"1411 ASHPORT ST. POMONA, CA 91768 UNITED STATES",N/A,1411 ASHPORT ST.,,POMONA,CA,91768,UNITED STATES,(909) 485-8600,34.06617,-117.7763
030048,030048,8/31/2024 12:00:00 AM,AVANT INTERNATIONAL LOGISTICS LLC,"5857 OWENS AVE STE 300 CARLSBAD, CA 92008 UNITED STATES",N/A,5857 OWENS AVE,STE 300,CARLSBAD,CA,92008,UNITED STATES,(925) 592-7001,33.16024,-117.325
021976,021976,6/30/2025 12:00:00 AM,AVANTI TRANSPORT SERVICES INCORPORATED,"6060 W. MANCHESTER AVENUE SUITE 100 LOS ANGELES, CA 90045 UNITED STATES",N/A,6060 W. MANCHESTER AVENUE,SUITE 100,LOS ANGELES,CA,90045,UNITED STATES,(310) 491-0500,33.95952,-118.3907
022899,022899,9/30/2022 12:00:00 AM,AVENUE 8 GROUP INC,"5175 COMMERCE DRIVE BALDWIN PARK, CA 91706 UNITED STATES",AVENUE INTERNATIONAL,5175 COMMERCE DRIVE,,BALDWIN PARK,CA,91706,UNITED STATES,(800) 320-7589,34.05576,-118.1474
024124,024124,4/30/2023 12:00:00 AM,AZ FREIGHT INTERNATIONAL INC.,"125 VINELAND AVENUE CITY OF INDUSTRY, CA 91746 UNITED STATES",RDD FREIGHT INT'L (LAX) INC.,125 VINELAND AVENUE,,CITY OF INDUSTRY,CA,91746,UNITED STATES,(626) 810-0700,33.99715,-117.9045
023176,023176,6/30/2022 12:00:00 AM,B.Y. INTERNATIONAL INC.,"710 EPPERSON DR CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,710 EPPERSON DR,,CITY OF INDUSTRY,CA,91748,UNITED STATES,(562) 926-0888,34.12744,-117.5472
023843,023843,3/31/2024 12:00:00 AM,B2B GLOBAL LOGISTICS INCORPORATED,"4617 S ALAMEDA ST VERNON, CA 90058 UNITED STATES",N/A,4617 S ALAMEDA ST,,VERNON,CA,90058,UNITED STATES,(310) 513-0707,33.84848,-118.2228
027410,027410,10/31/2023 12:00:00 AM,BAMA GLOBAL LOGISTICS INC.,"21671 GATEWAY CENTER DRIVE #206 DIAMOND BAR, CA 91765 UNITED STATES",N/A,21671 GATEWAY CENTER DRIVE,#206,DIAMOND BAR,CA,91765,UNITED STATES,(909) 709-6428,34.00658,-117.8098
029545,029545,5/31/2024 12:00:00 AM,"BAND OF BROTHERS, LLC","15317 PIPELINE LANE HUNTINGTON BEACH, CA 92649 UNITED STATES",N/A,15317 PIPELINE LANE,,HUNTINGTON BEACH,CA,92649,UNITED STATES,(714) 446-9913,33.71911,-118.0451
023543,023543,3/31/2024 12:00:00 AM,"BANDAI LOGIPAL AMERICA, INC.","3104 EAST ANA STREET RANCHO DOMINGUEZ, CA 90221 UNITED STATES",N/A,3104 EAST ANA STREET,,RANCHO DOMINGUEZ,CA,90221,UNITED STATES,(310) 894-4600,33.80383,-118.0357
004844,001759,9/30/2024 12:00:00 AM,BARINCO INTERNATIONAL CORP.,"5777 WEST CENTURY BLVD SUITE 990 LOS ANGELES, CA 90045 UNITED STATES",N/A,5777 WEST CENTURY BLVD,SUITE 990,LOS ANGELES,CA,90045,UNITED STATES,(323) 776-7212,33.94704,-118.3827
026185,026185,5/31/2025 12:00:00 AM,"BEE IMAGINE LOGISTICS, INC.","4850 AZUSA CANYON ROAD IRWINDALE, CA 91706 UNITED STATES",N/A,4850 AZUSA CANYON ROAD,,IRWINDALE,CA,91706,UNITED STATES,(310) 407-9219,34.08424,-117.9695
027669,027669,9/30/2024 12:00:00 AM,BEST SKYOCEAN LOGISTICS INC,"9440 TELSTAR AVE STE 5 EL MONTE, CA 91731 UNITED STATES",N/A,9440 TELSTAR AVE,STE 5,EL MONTE,CA,91731,UNITED STATES,(626) 780-1511,34.07914,-118.0371
022947,022947,7/31/2024 12:00:00 AM,"BESTOCEAN WORLDWIDE LOGISTICS, INC.","4411 SCHAEFER AVENUE CHINO, CA 91710 UNITED STATES",N/A,4411 SCHAEFER AVENUE,,CHINO,CA,91710,UNITED STATES,(909) 219-8000,34.01253,-117.6844
017057,017057,7/31/2024 12:00:00 AM,"BGI WORLDWIDE LOGISTICS, INC.","2453 LEWIS AVENUE SIGNAL HILL, CA 90755 UNITED STATES",N/A,2453 LEWIS AVENUE,,SIGNAL HILL,CA,90755,UNITED STATES,(562) 597-5671,33.80156,-118.1799
004360,000775,5/31/2025 12:00:00 AM,"BILL POLKINHORN, INC.","2401 PORTICO BLVD. CALEXICO, CA 92231 UNITED STATES",N/A,2401 PORTICO BLVD.,,CALEXICO,CA,92231,UNITED STATES,(760) 357-1146,32.69463,-115.5045
013354,013354,4/30/2024 12:00:00 AM,BINEX LINE CORP.,"19515 SOUTH VERMONT AVENUE TORRANCE, CA 90502 UNITED STATES",N/A,19515 SOUTH VERMONT AVENUE,,TORRANCE,CA,90502,UNITED STATES,(310) 416-8600,33.85368,-118.2913
004869,001803,3/31/2025 12:00:00 AM,"BLUE SKY BLUE SEA, INC.","13500 S. FIGUEROA STREET LOS ANGELES, CA 90061 UNITED STATES","AMERICAN EXPORT LINES, SHIPIT LOGISTICS",13500 S. FIGUEROA STREET,,LOS ANGELES,CA,90061,UNITED STATES,(310) 895-7192,33.90846,-118.2824
029540,029540,10/31/2024 12:00:00 AM,"BLUEX TRADE, INC.","20955 PATHFINDER ROAD SUITE 230 DIAMOND BAR, CA 91765 UNITED STATES",N/A,20955 PATHFINDER ROAD,SUITE 230,DIAMOND BAR,CA,91765,UNITED STATES,(650) 868-4309,34.00658,-117.8098
026153,026153,3/31/2024 12:00:00 AM,"BNBU GLOBAL, INC.","840 APOLLO STREET SUITE 100 EL SEGUNDO, CA 90245 UNITED STATES",TRANSOLVE GLOBAL (USA),840 APOLLO STREET,SUITE 100,EL SEGUNDO,CA,90245,UNITED STATES,(562) 481-3366,33.92427,-118.4119
012374,004028,8/31/2023 12:00:00 AM,BNX SHIPPING INC.,"910 EAST 236TH STREET CARSON, CA 90745 UNITED STATES",N/A,910 EAST 236TH STREET,,CARSON,CA,90745,UNITED STATES,(310) 764-0999,33.81126,-118.2592
023047,023047,7/31/2024 12:00:00 AM,"BRITISH AMERICAN SHIPPING, LLC","16400 PACIFIC COAST HIGHWAY SUITE 215 HUNTINGTON BEACH, CA 92649 UNITED STATES",N/A,16400 PACIFIC COAST HIGHWAY,SUITE 215,HUNTINGTON BEACH,CA,92649,UNITED STATES,(562) 316-1212,33.71911,-118.0451
024336,024336,6/30/2023 12:00:00 AM,BRUTOS INTERNATIONAL CORP.,"2113 HUNTINGTON DRIVE SAN MARINO, CA 91108 UNITED STATES",N/A,2113 HUNTINGTON DRIVE,,SAN MARINO,CA,91108,UNITED STATES,(626) 229-9838,34.05723,-118.1343
031221,031221,1/31/2023 12:00:00 AM,BSR INTERNATIONAL LOGISTICS INC,"20955 PATHFINDER RD.  SUITE 100 DIAMOND BAR, CA 91765 UNITED STATES",N/A,20955 PATHFINDER RD. ,SUITE 100,DIAMOND BAR,CA,91765,UNITED STATES,(714) 681-8460,34.00658,-117.8098
024674,024674,4/30/2025 12:00:00 AM,C AUTO GROUP INC.,"13832 VALLEY BLVD. LA PUENTE, CA 91746 UNITED STATES",N/A,13832 VALLEY BLVD.,,LA PUENTE,CA,91746,UNITED STATES,(626) 369-0518,34.04979,-117.9978
029963,029963,3/31/2024 12:00:00 AM,C&A GLOBAL SHIPPING INC.,"129 S 8TH AVE #A LA PUENTE, CA 91746 UNITED STATES",N/A,129 S 8TH AVE,#A,LA PUENTE,CA,91746,UNITED STATES,(626) 731-4668,34.05096,-117.98
004679,001458,8/31/2024 12:00:00 AM,"C. J. SWIFT & CO., INC.","360 SWIFT AVENUE SUITE 29 SO. SAN FRANCISCO, CA 94080 UNITED STATES","MCCLARY, SWIFT & COMPANY, INC.",360 SWIFT AVENUE,SUITE 29,SO. SAN FRANCISCO,CA,94080,UNITED STATES,(650) 872-2121,37.64921,-122.3898
023878,017170,10/31/2022 12:00:00 AM,C.O. LOGISTIC LLC,"4126 DEL MAR AVENUE LONG BEACH, CA 90807 UNITED STATES",C.O. LOGISTIC,4126 DEL MAR AVENUE,,LONG BEACH,CA,90807,UNITED STATES,(562) 490-9416,33.82476,-118.1974
